license_number,facility_name,legal_entity,address_line1,address_line2,additional_locations,city,state,zip,county,county_code,phone,setting_code,offers_detox,is_licensed,is_certified,license_expiration,license_expired,treatment_capacity,total_capacity,target_population_code,target_population,incidental_medical_services,adolescent_waiver,latitude,longitude
010001AN,CHRYSALIS,"HORIZON SERVICES, INCORPORATED",3837 TELEGRAPH AVENUE,,"3839, 3841, AND 3843 TELEGRAPH AVENUE",OAKLAND,CA,94609,Alameda County,01,(510) 450-1190,RES,false,true,true,2027-10-31,false,20,20,1.3,WOMEN ONLY,false,false,37.827325,-122.264974
010001BN,CRONIN HOUSE,"HORIZON SERVICES, INCORPORATED",2575 DEPOT ROAD,,,HAYWARD,CA,94545,Alameda County,01,(510) 784-5874,RES,false,true,false,2028-02-29,false,52,52,1.1,CO-ED,true,false,37.63874,-122.114349
010001DN,CHERRY HILL DETOXIFICATION SERVICES PROGRAM,"HORIZON SERVICES, INCORPORATED",2035 FAIRMONT DRIVE,,,SAN LEANDRO,CA,94578,Alameda County,01,(510) 346-7833,RES,true,true,false,2028-01-31,false,32,32,1.1,CO-ED,true,false,37.710574,-122.121066
010001EN,PROJECT EDEN - EAST COUNTY,"HORIZON SERVICES, INCORPORATED",1020 SERPENTINE LANE,SUITE 100,,PLEASANTON,CA,94566,Alameda County,01,(925) 444-7040,NON,false,false,true,2026-08-31,false,0,0,1.1,CO-ED,false,false,37.674517,-121.866183
010001FN,PROJECT EDEN,"HORIZON SERVICES, INCORPORATED",1866 B. STREET,SUITE 101,,HAYWARD,CA,94541,Alameda County,01,(510) 247-8202,NON,false,false,true,2028-08-31,false,0,0,1.5,YOUTH/ADOLESCENT,false,false,37.682713,-122.065728
010003BN,EBCRP RESIDENTIAL PROGRAM FOR WOMEN AND CHILDREN,LIFELONG MEDICAL CARE,2545 SAN PABLO AVENUE,,,OAKLAND,CA,94612,Alameda County,01,(510) 446-7160,RES,false,true,true,2027-01-31,false,20,20,1.4,WOMEN/CHILDREN,false,false,37.816337,-122.275229
010003CN,EBCRP OUTPATIENT OAKLAND,LIFELONG MEDICAL CARE,2577 SAN PABLO AVENUE,,,OAKLAND,CA,94612,Alameda County,01,(510) 446-7180,NON,false,false,true,2027-01-31,false,0,0,1.1,CO-ED,false,false,37.81708,-122.275467
010006AN,ORCHID WOMEN'S RECOVERY CENTER,BI-BETT,1342 EAST 27TH STREET,,,OAKLAND,CA,94606,Alameda County,01,(510) 535-0611,RES,false,true,true,2028-04-30,false,12,12,1.4,WOMEN/CHILDREN,true,false,37.79774,-122.234811
010010AN,"C.U.R.A., INC.",CARNALES UNIDOS REFORMANDO ADICTOS INCORPORATE,37437 GLENMOOR DRIVE,,,FREMONT,CA,94536,Alameda County,01,(510) 713-3200,RES,false,true,true,2028-01-31,false,51,51,1.1,CO-ED,false,false,37.550578,-122.0126
010013AN,NEW BRIDGE FOUNDATION,"THE NEW BRIDGE FOUNDATION, INC.",1816 SCENIC AVENUE,,"1820, 1850 SCENIC AVENUE, AND 2325 HEARST AVENUE",BERKELEY,CA,94709,Alameda County,01,(510) 548-7270,RES,true,true,true,2028-05-31,false,93,93,1.1,CO-ED,true,false,37.875585,-122.262334
010013BN,NEW BRIDGE FOUNDATION - HELIOS,"THE NEW BRIDGE FOUNDATION, INC.",1777 LE ROY AVENUE,,,BERKELEY,CA,94709,Alameda County,01,(510) 548-7270,NON,false,false,true,2028-07-31,false,0,0,1.1,CO-ED,false,false,37.876548,-122.258536
010013CN,"NEW BRIDGE FOUNDATION, INC.","THE NEW BRIDGE FOUNDATION, INC.",2323 HEARST AVENUE,,,BERKELEY,CA,94709,Alameda County,01,(510) 548-7270,NON,false,false,true,2027-06-30,false,0,0,1.1,CO-ED,false,false,37.874778,-122.26286
010061HN,SECOND CHANCE HAYWARD,SECOND CHANCE INC,107 JACKSON ST,,,HAYWARD,CA,94544,Alameda County,01,(510) 886-8696,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.657661,-122.086779
010062AN,FRIENDSHIP HOUSE AMERICAN INDIAN LODGE,THE FRIENDSHIP HOUSE ASSOCIATION OF AMERICAN INDIANS,1818 38TH AVENUE,,1815 39TH AVENUE,OAKLAND,CA,94601,Alameda County,01,(510) 535-7100,RES,false,true,true,2027-02-28,false,9,20,1.4,WOMEN/CHILDREN,false,false,37.777738,-122.217647
010066DN,OPTIONS RECOVERY SERVICES,OPTIONS RECOVERY SERVICES,1835 ALLSTON WAY,,,BERKELEY,CA,94703,Alameda County,01,(510) 666-9552,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.868841,-122.274056
010066EN,OPTIONS RECOVERY SERVICES,OPTIONS RECOVERY SERVICES,1300 E 14TH ST,,,SAN LEANDRO,CA,94577,Alameda County,01,(510) 666-9552,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.724733,-122.155452
010066FN,OPTIONS RECOVERY SERVICES,OPTIONS RECOVERY SERVICES,1630 10TH ST,,,OAKLAND,CA,94607,Alameda County,01,(510) 666-9552,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.809153,-122.296741
010066GN,OPTIONS RECOVERY SERVICES,OPTIONS RECOVERY SERVICES,1931 CENTER ST,,,BERKELEY,CA,94704,Alameda County,01,(510) 666-9552,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.869839,-122.271808
010072AN,MEN ON THE WAY,WOMEN ON THE WAY RECOVERY CENTER,20424 HAVILAND AVENUE,,,HAYWARD,CA,94541,Alameda County,01,(510) 698-6688,RES,false,true,false,2028-03-31,false,10,10,1.2,MEN ONLY,false,false,37.680428,-122.105592
010079AP,TERRA FIRMA DIVERSION/EDUCATIONAL SERVICES,TERRA FIRMA DIVERSION/EDUCATIONAL SERVICES,30086 MISSION BOULEVARD,,,HAYWARD,CA,94544,Alameda County,01,(510) 675-9362,NON,false,false,true,2027-08-31,false,0,0,1.1,CO-ED,false,false,37.626469,-122.043094
010081AN,MAGNOLIA WOMEN'S RECOVERY PROGRAM,"MAGNOLIA WOMEN'S RECOVERY PROGRAMS, INC.",682 BRIERGATE WAY,,,HAYWARD,CA,94544,Alameda County,01,(510) 535-1346,RES,false,true,true,2027-09-30,false,6,12,1.4,WOMEN/CHILDREN,false,false,37.62609,-122.038914
010081CN,"MAGNOLIA WOMEN'S RECOVERY PROGRAMS, INC.","MAGNOLIA WOMEN'S RECOVERY PROGRAMS, INC.",3408 ANDOVER STREET,,,OAKLAND,CA,94609,Alameda County,01,(510) 547-1531,RES,false,true,true,2027-02-28,false,10,20,1.4,WOMEN/CHILDREN,false,false,37.822324,-122.264057
010090BN,"NATIVE AMERICAN HEALTH CENTER, INC.","NATIVE AMERICAN HEALTH CENTER, INC.",3124 INTERNATIONAL BOULEVARD,SUITE 400,,OAKLAND,CA,94601,Alameda County,01,(510) 434-5421,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.777957,-122.226344
010099BN,CAL-PEP DAY TREATMENT,CAL-PEP,2811 ADELINE ST,,,EMERYVILLE,CA,94608,Alameda County,01,(510) 874-7850,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.820588,-122.282628
010101AN,SI SE PUEDE/LATINO FAMILY SERVICES CENTER,THE ALLIANCE FOR COMMUNITY WELLNESS,1315 FRUITVALE AVENUE,,,OAKLAND,CA,94601,Alameda County,01,(510) 300-3170,NON,false,false,true,2027-10-31,false,0,0,1.12,WOMEN/YOUTH,false,false,37.777072,-122.226146
010101CN,EL CHANTE RESIDENTIAL HOME,THE ALLIANCE FOR COMMUNITY WELLNESS,425 VERNON STREET,,,OAKLAND,CA,94610,Alameda County,01,(510) 465-4569,RES,false,true,true,2027-10-31,false,20,20,1.2,MEN ONLY,false,false,37.81679,-122.253542
010101EN,YOUTH FOR CHANGE,THE ALLIANCE FOR COMMUNITY WELLNESS,3315 INTERNATIONAL BOULEVARD,,,OAKLAND,CA,94601,Alameda County,01,(510) 300-3500,NON,false,false,true,2026-12-31,false,0,0,1.5,YOUTH/ADOLESCENT,false,false,37.776802,-122.224352
010101FN,WOMEN'S SERVICES ENHANCEMENT PROGRAM (WESP),THE ALLIANCE FOR COMMUNITY WELLNESS,1319 FRUITVALE AVE,,,OAKLAND,CA,94601,Alameda County,01,(510) 300-3170,NON,false,false,true,2027-06-30,false,0,0,1.3,WOMEN ONLY,false,false,37.777071,-122.226146
010102BN,SENIOR HOMELESS SERVICES,ST. MARY'S CENTER,925 BROCKHURST STREET,,,OAKLAND,CA,94608,Alameda County,01,(510) 923-9600 X250,NON,false,false,true,2028-05-31,false,0,0,1.1,CO-ED,false,false,37.823463,-122.276778
010106CN,WILMA CHAN HIGHLAND HOSPITAL SUBSTANCE USE PROGRAM,ALAMEDA HEALTH SYSTEM,1411 E 31ST STREET,ROOM OA1,,OAKLAND,CA,94602,Alameda County,01,(510) 437-5122,NON,false,false,true,2027-08-31,false,0,0,1.1,CO-ED,false,false,37.799262,-122.231488
010110BP,OCEAN PSYCHIATRY IOP,"OCEAN PSYCHIATRY, INC.",39210 STATE STREET,SUITE 100,,FREEMONT,CA,94538,Alameda County,01,(510) 451-2000,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.549042,-121.982668
010113AP,TRANQUILITY REHAB,TRANQUILITY REHAB LLC,25872 FIVE CANYONS PKWY,,"27149 AND 27167 FIELDING DRIVE, HAYWARD, CA 94552 AND 4428 EWING ROAD",CASTRO VALLEY,CA,94546,Alameda County,01,(925) 596-5731,RES,true,true,true,2027-01-31,false,24,24,1.1,CO-ED,true,false,37.675272,-122.031168
010114AN,SECOND CHANCE TRI-CITIES,SECOND CHANCE INC,6330 THORNTON AVENUE,,,NEWARK,CA,94560,Alameda County,01,(510) 792-4357,NON,false,false,true,2026-12-31,false,0,0,1.10,CO-ED/YOUTH,false,false,37.534327,-122.032591
010115AN,"CITY OF FREMONT, HUMAN SERVICES DEPARTMENT","CITY OF FREMONT, HUMAN SERVICES DEPARTMENT",39155 LIBERTY STREET,ROOM E500 AND H850,,FREMONT,CA,94537,Alameda County,01,(510) 574-2000,NON,false,false,true,2026-12-31,false,0,0,1.10,CO-ED/YOUTH,false,false,37.551237,-121.982834
010117AP,PATHWAY HUMANITY,"PATHWAY HUMANITY PERSONNEL, SPC",6239 BROMLEY AVENUE,,,OAKLAND,CA,94621,Alameda County,01,(888) 710-7760,RES,false,true,true,2027-11-30,false,9,9,1.1,CO-ED,false,false,37.765416,-122.193806
010117BP,PATHWAY HUMANITY,"PATHWAY HUMANITY PERSONNEL, SPC",3936 ANGELO AVENUE,,,OAKLAND,CA,94619,Alameda County,01,(888) 710-7760,RES,false,true,true,2027-11-30,false,6,6,1.1,CO-ED,false,false,37.78713,-122.202379
010118AP,TIAMAT TREATMENT CENTER,TIAMAT TREATMENT CENTER LLC,3022 INTERNATIONAL BLVD.,SUITE 410,,OAKLAND,CA,94601,Alameda County,01,(510) 813-5939,NON,false,false,true,2027-11-30,false,0,0,1.1,CO-ED,false,false,37.778546,-122.227587
010119AP,ZION HEALING CENTER EAST BAY,R2 CONSULTANCY LLC,5720 STONERIDGE MALL ROAD,SUITE 360,,PLEASANTON,CA,94588,Alameda County,01,(408) 218-4506,NON,false,false,true,2027-11-30,false,0,0,1.1,CO-ED,false,false,37.692626,-121.930356
010120AP,RENEWAL RECOVERY LLC,RENEWAL RECOVERY LLC,1151 HARBOR BAY PARKWAY,SUITE 134,,ALAMEDA,CA,94502,Alameda County,01,(323) 426-5598,NON,false,false,true,2027-11-30,false,0,0,1.1,CO-ED,false,false,37.726743,-122.231238
010121AP,RILEY RECOVERY CENTERS,RILEY RECOVERY CENTERS LLC,2332 HARRISON ST.,FLOOR 3-5,,OAKLAND,CA,94612,Alameda County,01,(720) 270-2423,NON,false,false,true,2028-03-31,false,0,0,1.1,CO-ED,false,false,37.811999,-122.261787
010121BP,RILEY RECOVERY CENTERS,RILEY RECOVERY CENTERS LLC,20880 BAKER ROAD,,,CASTRO VALLEY,CA,94546,Alameda County,01,(720) 270-2423,NON,false,false,true,2028-03-31,false,0,0,1.1,CO-ED,false,false,37.694384,-122.083573
010122AP,NEW PATHWAY RECOVERY IOP LLC,NEW PATHWAY RECOVERY IOP LLC,7080 DONLON WAY,SUITE 214,,DUBLIN,CA,94568,Alameda County,01,(510) 993-9296,NON,false,false,true,2028-07-31,false,0,0,1.1,CO-ED,false,false,37.702532,-121.939294
020001AN,ALPINE COUNTY BEHAVIORAL HEALTH SERVICES,ALPINE COUNTY HEALTH HUMAN SERVICES,40 DIAMOND VALLEY RD,,,MARKLEEVILLE,CA,96120,Alpine County,02,(530) 694-1816,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,38.76977,-119.816731
